# AUDI_WAPSTRA_2003.DATA
#
# 
# Each line is:
#  Z   A    MassExcess (keV)
#
42 95 -87707.5
42 96 -88790.5
42 97 -87540.4
42 98 -88111.7
42 99 -85965.8
42 100 -86184.3
42 101 -83511.2
42 102 -83557.5
42 103 -80847
42 104 -80328.7
42 105 -77337.7
42 106 -76255.1
42 107 -72942.9
42 108 -71303
42 109 -67245
42 110 -65456
42 111 -61097
42 112 -58833
42 113 -54138
42 114 -51307
42 115 -46305
43 85 -47665
43 86 -53207
43 87 -59122
43 88 -62710
43 89 -67844
43 90 -71206.6
43 91 -75984.2
43 92 -78934.6
43 93 -83602.5
43 94 -84154
43 95 -86016.9
43 96 -85817.3
43 97 -87220.1
43 98 -86427.8
43 99 -87323.1
43 100 -86016.2
43 101 -86335.8
43 102 -84565.7
43 103 -84597
43 104 -82486.2
43 105 -82287.7
43 106 -79775.1
43 107 -79102.9
43 108 -75952.9
43 109 -74535.7
43 110 -70960.8
43 111 -69216.7
43 112 -65999.6
43 113 -63724
43 114 -59727
43 115 -57110
43 116 -52751
43 117 -49854
43 118 -45196
44 87 -47339
44 88 -55647
44 89 -59513
44 90 -65307
44 91 -68658
44 92 -74408
44 93 -77265.5
44 94 -82567.9
44 95 -83449.8
44 96 -86072.1
44 97 -86112.2
44 98 -88224.5
44 99 -87617
44 100 -89219
44 101 -87949.7
44 102 -89098
44 103 -87258.8
44 104 -88088.9
44 105 -85927.7
44 106 -86322.1
44 107 -83922.9
44 108 -83672.9
44 109 -80850.7
44 110 -79981.8
44 111 -76665.7
44 112 -75483.6
44 113 -72202.7
44 114 -70532
44 115 -66428.4
44 116 -64450
44 117 -60007
44 118 -57920
44 119 -53244
44 120 -50943
45 89 -47658
45 90 -53216
45 91 -59103
45 92 -63360
45 93 -69173
45 94 -72938
45 95 -78339.8
45 96 -79679.4
45 97 -82589.2
45 98 -83174.8
45 99 -85574.4
45 100 -85584.2
45 101 -87408
45 102 -86775
45 103 -88022.2
45 104 -86949.8
45 105 -87845.6
45 106 -86361.5
45 107 -86863.3
45 108 -85019.3
45 109 -85010.7
45 110 -82775.9
45 111 -82357.2
45 112 -79741.3
45 113 -78682.7
45 114 -75631.7
45 115 -74208.4
45 116 -70735.8
45 117 -68949
45 118 -65139
45 119 -63239
45 120 -59234
45 121 -57082
45 122 -52900
46 91 -47403
46 92 -55498
46 93 -59699
46 94 -66350
46 95 -70151
46 96 -76229.4
46 97 -77799.2
46 98 -81300
46 99 -82187.7
46 100 -85226.2
46 101 -85428
46 102 -87925.1
46 103 -87479.1
46 104 -89390
46 105 -88412.8
46 106 -89902.5
46 107 -88367.6
46 108 -89524.3
46 109 -87606.6
46 110 -88349.2
46 111 -86004.2
46 112 -86336.4
46 113 -83692
46 114 -83496.7
46 115 -80403
46 116 -79960.7
46 117 -76530.3
46 118 -75465.6
46 119 -71623
46 120 -70149.1
46 121 -66257
46 122 -64692
46 123 -60612
46 124 -58796
47 93 -46780
47 94 -53300
47 95 -60100
47 96 -64571
47 97 -70819.2
47 98 -73060.6
47 99 -76757.7
47 100 -78148.4
47 101 -81224.2
47 102 -82264.9
47 103 -84791.4
47 104 -85111.4
47 105 -87068
47 106 -86937.3
47 107 -88401.7
47 108 -87601.8
47 109 -88722.7
47 110 -87460.6
47 111 -88220.7
47 112 -86624.5
47 113 -87032.7
47 114 -84948.8
47 115 -84987
47 116 -82567.7
47 117 -82265.3
47 118 -79565.6
47 119 -78557.5
47 120 -75649.1
47 121 -74661.1
47 122 -71231
47 123 -69955
47 124 -66471
47 125 -64804
47 126 -61013
47 127 -58898
47 128 -54800
47 129 -52452
47 130 -46157
48 95 -46696
48 96 -56104
48 97 -60603
48 98 -67630.6
48 99 -69853
48 100 -74249.8
48 101 -75747.7
48 102 -79677.9
48 103 -80649.5
48 104 -83974.7
48 105 -84330.1
48 106 -87132.5
48 107 -86984.8
48 108 -89252.3
48 109 -88508.4
48 110 -90353
48 111 -89257.5
48 112 -90580.5
48 113 -89049.3
48 114 -90020.9
48 115 -88090.5
48 116 -88719.4
48 117 -86425.3
48 118 -86708.6
48 119 -83907.5
48 120 -83974.1
48 121 -81061.1
48 122 -80730.3
48 123 -77311.2
48 124 -76710.8
48 125 -73358.5
48 126 -72327.4
48 127 -68517.1
48 128 -67289
48 129 -63202
48 130 -61569.9
48 131 -55266
48 132 -50720
49 97 -47003
49 98 -53896
49 99 -61274
49 100 -64169.8
49 101 -68614
49 102 -70709.5
49 103 -74599.5
49 104 -76106.6
