###########################################################
#$Id: pied_chiosi_e416a.dat,v 1.1 2006/03/20 01:13:45 franklan Exp $
#Piédestaux pour ChIo/Si, manip E416a
#Extraits du run 1000
#Chaque spectre fitté avec une gaussienne
#Format du fichier:
# nom_du_parametre moyenne erreur_sur_moyenne largeur erreur_sur_moyenne chi_square NDF
###########################################################
SI_0804_PG 49.1496 0.00355444 0.5145 0.00305543 198.854 34
SI_0805_GG 62.5404 0.273807 7.99901 0.124892 183 15
SI_0805_PG 48.9505 0.119045 0.298381 0.620276 1266 18
SI_0806_GG 59.0248 0.14103 13.1005 0.0918679 48.9166 13
SI_0806_PG 50.9911 0.320669 0.195349 21.65 3471 18
SI_0807_GG 59.3501 0.0441873 4.38059 0.0203002 188.529 27
SI_0807_PG 49.1832 0.00362032 0.517548 0.00299373 192.707 29
SI_0808_GG 47.6966 1.54659 2.66253 12.5122 182 12
SI_0808_PG 44.9099 21.0107 0.27988 17.2403 17928.4 17
SI_0809_GG 67.0754 0.0525035 4.45883 0.0218852 143.926 26
SI_0809_PG 49.715 0.0041679 0.511639 0.00225572 283.489 27
SI_0810_GG 65.7307 0.0232076 3.26655 0.0165204 182.183 52
SI_0810_PG 50.0191 0.0033676 0.496559 0.00350482 218.721 28
SI_0811_GG 66.2414 0.139064 5.69516 0.041999 140 19
SI_0811_PG 49.7515 0.00396378 0.537024 0.00259036 165.99 29
SI_0812_GG 70.3572 0.0309961 3.91535 0.026983 155.841 33
SI_0812_PG 49.5587 0.0122298 0.0786523 0.0162614 5745 28
SI_0813_GG 66.563 0.0245977 3.43936 0.0169494 140.071 50
SI_0813_PG 50.9636 0.00365968 0.522585 0.00323434 160.793 29
SI_0814_GG 66.8055 0.0235465 3.3206 0.0166689 153.517 46
SI_0814_PG 51.0423 0.00348712 0.516825 0.00327537 149.375 30
SI_0815_GG 64.5848 0.0377376 5.71876 0.125256 118.41 23
SI_0815_PG 50.4975 0.00696945 0.0136166 0.0311082 11300 29
SI_0816_GG 77.2756 0.0306857 4.35837 0.0229738 138.969 38
SI_0816_PG 50.6303 0.00405656 0.563483 0.00257844 141.431 30
SI_0817_GG 35.0493 0.148091 0.267858 0.523864 598 18
SI_0817_PG 52.3486 0.00380212 0.512864 0.00234093 125.079 27
SI_0818_GG 28.8468 0.0794132 6.19561 0.0436924 41.8005 19
SI_0818_PG 52.4394 0.00390809 0.527927 0.00226162 132.946 26
SI_0819_GG 29.9509 0.0711048 6.48966 0.0510507 32.8954 18
SI_0819_PG 54.7737 0.00491773 0.52029 0.00261086 513.922 25
SI_0820_GG 29.359 0.231672 7.38472 0.157086 36 14
SI_0820_PG 53.4497 0.00990684 0.71483 0.00596586 124.812 15
SI_0821_GG 23.5796 0.159123 6.87256 0.340263 40 13
SI_0821_PG 54.0851 0.00757213 0.647298 0.0268085 152.343 16
SI_0822_GG 35.1145 0.0516082 6.89393 0.105167 108.127 17
SI_0822_PG 55.1803 0.00345161 0.495631 0.00303049 191.692 27
SI_0823_GG 37.0584 0.150615 4.81077 0.0695466 164.999 24
SI_0823_PG 53.2761 0.00370533 0.509707 0.00265379 189.596 35
SI_0824_GG 68.9991 0.496685 8.28171 0.22594 142 15
SI_0824_PG 52.2999 0.0270389 0.591227 0.0265043 142.988 19
SI_0901_GG 41.6526 28.4689 5.35913 237.021 13767.2 19
SI_0901_PG 53.4241 0.00405504 0.556124 0.00236611 257.708 31
SI_0902_GG 34.9577 0.0557948 6.99986 0.0991161 187.15 24
SI_0902_PG 55.3924 0.00404486 0.555737 0.00240106 217.418 30
SI_0903_GG 31.0995 0.0342172 4.48603 0.0191229 201.783 39
SI_0903_PG 52.9136 0.0041956 0.540508 0.00318291 338.187 33
SI_0904_GG 50.7444 0.283567 0.978037 0.982443 558 15
SI_0904_PG 53.5596 122.079 0.593335 25.8358 2361.87 20
SI_0905_GG 45.2924 0.718709 1.0126 2.77895 16323 21
SI_0905_PG 54.1612 0.00347767 0.503153 0.00309218 223.203 28
SI_0906_GG 35.6566 0.724814 1.90722 3.27211 2334 18
SI_0906_PG 54.1348 0.00663778 0.706229 0.0152293 199.529 18
SI_0907_GG 29.758 0.0268988 3.80781 0.0201105 200.043 39
SI_0907_PG 50.9708 0.00391687 0.520879 0.00345456 324.487 26
SI_0908_GG 37.391 0.276369 7.73492 0.098681 51 15
SI_0908_PG 54.0056 0.00409561 0.761065 0.0124223 151.124 18
SI_0909_GG 42.2046 0.0281743 4.04137 0.0225626 166.809 33
SI_0909_PG 54.3241 0.00385372 0.528755 0.00258504 149.456 25
SI_0910_GG 45.5515 0.43726 1.52231 1.09352 291 19
SI_0910_PG 53.9862 0.00371467 0.512423 0.00347391 303.458 30
SI_0911_GG 42.1002 0.0240487 3.38998 0.0169525 169.95 44
SI_0911_PG 54.172 0.00367026 0.525447 0.00298439 159.645 23
SI_0912_GG 46.9515 0.178179 6.60435 0.116215 200.987 19
SI_0912_PG 53.6806 0.00883885 0.727405 0.00927966 181.693 18
SI_0913_GG 41.79 0.0244157 3.43958 0.0174638 176.148 50
SI_0913_PG 51.6366 0.00407295 0.547242 0.00237174 193.62 30
SI_0914_GG 47.7997 0.176925 7.02571 0.160521 179.938 17
SI_0914_PG 52.8046 0.0616516 0.292659 0.0821162 14931 17
SI_0915_GG 36.6278 0.435838 1.66816 1.19275 181 18
SI_0915_PG 50.0592 0.00442454 0.701289 0.0174577 138.823 19
SI_0916_GG 25.622 0.0927378 4.89011 0.0594743 12206 16
SI_0916_PG 51.0344 0.003723 0.540309 0.00325568 191.04 30
SI_0917_GG 75.6947 0.0868927 9.60846 0.151797 168.156 15
SI_0917_PG 50.4342 0.0135787 0.659449 0.00998275 176.935 17
SI_0918_GG 71.9554 0.0244146 3.43723 0.0178458 221.594 53
SI_0918_PG 54.2589 0.00416143 0.574978 0.00260902 236.378 29
SI_0919_GG 83.6626 0.14254 5.56492 0.0597309 196.999 25
SI_0919_PG 48.573 0.00419066 0.578504 0.00234264 254.353 33
SI_0920_GG 85.3629 0.0589284 4.90205 0.098245 189.527 28
SI_0920_PG 52.7984 0.00417989 0.590454 0.00310667 175.82 33
SI_0921_GG 84.293 0.0242642 3.39408 0.0170977 243.424 61
SI_0921_PG 54.2619 0.00446122 0.619475 0.00252601 392.771 25
SI_0922_GG 50.7404 0.0275291 3.80782 0.0189002 205.999 37
SI_0922_PG 54.0127 0.00442473 0.619689 0.00314563 263.88 28
#improved fit by limiting fitted range by hand
#SI_0923_GG 103.799 15.921 6.99613 294.927 18137.1 27
SI_0923_GG 9.27764e+01 2.54146e-02 3.53705 1.47240e-02 4.14707969251758129e+02 11
SI_0923_PG 49.9272 0.00391528 0.562715 0.00320415 244.999 36
SI_0924_GG 79.058 0.278839 6.21946 0.082282 202 20
SI_0924_PG 56.2301 0.00734287 0.742687 0.0104525 196.598 19
