# DataSet LNS_2016
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/TEST-JUL2016
run=288 | starting date=Wed Jul 13 00:34:27 2016 | nfiles=10 | size(GB)=0.93
run=289 | starting date=Wed Jul 13 00:37:35 2016 | nfiles=10 | size(GB)=0.93
run=290 | starting date=Wed Jul 13 00:40:35 2016 | nfiles=10 | size(GB)=0.93
run=291 | starting date=Wed Jul 13 00:43:53 2016 | nfiles=10 | size(GB)=0.93
run=292 | starting date=Wed Jul 13 00:46:55 2016 | nfiles=10 | size(GB)=0.93
run=293 | starting date=Wed Jul 13 00:49:57 2016 | nfiles=10 | size(GB)=0.93
run=294 | starting date=Wed Jul 13 00:52:46 2016 | nfiles=10 | size(GB)=0.93
run=295 | starting date=Wed Jul 13 00:55:28 2016 | nfiles=10 | size(GB)=0.93
run=296 | starting date=Wed Jul 13 00:57:57 2016 | nfiles=10 | size(GB)=0.93
run=297 | starting date=Wed Jul 13 01:00:25 2016 | nfiles=10 | size(GB)=0.93
run=298 | starting date=Wed Jul 13 01:02:50 2016 | nfiles=10 | size(GB)=0.93
run=299 | starting date=Wed Jul 13 01:05:03 2016 | nfiles=10 | size(GB)=0.93
run=300 | starting date=Wed Jul 13 01:07:37 2016 | nfiles=10 | size(GB)=0.93
run=301 | starting date=Wed Jul 13 01:09:55 2016 | nfiles=9 | size(GB)=0.80
run=302 | starting date=Wed Jul 13 01:12:24 2016 | nfiles=10 | size(GB)=0.93
run=303 | starting date=Wed Jul 13 01:16:29 2016 | nfiles=10 | size(GB)=0.93
run=304 | starting date=Wed Jul 13 01:18:48 2016 | nfiles=10 | size(GB)=0.93
run=305 | starting date=Wed Jul 13 01:20:50 2016 | nfiles=10 | size(GB)=0.93
run=306 | starting date=Wed Jul 13 01:22:51 2016 | nfiles=10 | size(GB)=0.93
run=307 | starting date=Wed Jul 13 01:25:16 2016 | nfiles=10 | size(GB)=0.93
run=308 | starting date=Wed Jul 13 01:27:48 2016 | nfiles=10 | size(GB)=0.93
run=309 | starting date=Wed Jul 13 01:30:15 2016 | nfiles=10 | size(GB)=0.93
run=310 | starting date=Wed Jul 13 01:32:36 2016 | nfiles=10 | size(GB)=0.93
run=311 | starting date=Wed Jul 13 01:35:05 2016 | nfiles=10 | size(GB)=0.93
run=312 | starting date=Wed Jul 13 01:37:40 2016 | nfiles=10 | size(GB)=0.93
run=313 | starting date=Wed Jul 13 01:40:04 2016 | nfiles=10 | size(GB)=0.93
run=314 | starting date=Wed Jul 13 01:42:35 2016 | nfiles=10 | size(GB)=0.93
run=315 | starting date=Wed Jul 13 01:45:11 2016 | nfiles=10 | size(GB)=0.93
run=316 | starting date=Wed Jul 13 01:47:48 2016 | nfiles=3 | size(GB)=0.22
run=317 | starting date=Wed Jul 13 01:48:39 2016 | nfiles=10 | size(GB)=0.93
run=318 | starting date=Wed Jul 13 01:56:18 2016 | nfiles=10 | size(GB)=0.93
