# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIASYM-Dec2015/
run=369 | starting date=Fri Dec 11 02:16:21 2015 | nfiles=20 | size(GB)=0.28
run=370 | starting date=Fri Dec 11 02:16:24 2015 | nfiles=20 | size(GB)=0.28
run=371 | starting date=Fri Dec 11 02:16:27 2015 | nfiles=20 | size(GB)=0.28
run=372 | starting date=Fri Dec 11 02:16:30 2015 | nfiles=20 | size(GB)=0.28
run=373 | starting date=Fri Dec 11 02:16:33 2015 | nfiles=20 | size(GB)=0.28
run=374 | starting date=Fri Dec 11 02:16:36 2015 | nfiles=20 | size(GB)=0.28
run=375 | starting date=Fri Dec 11 02:16:39 2015 | nfiles=20 | size(GB)=0.28
run=376 | starting date=Fri Dec 11 02:16:42 2015 | nfiles=20 | size(GB)=0.28
run=377 | starting date=Fri Dec 11 02:16:45 2015 | nfiles=20 | size(GB)=0.28
run=378 | starting date=Fri Dec 11 02:16:48 2015 | nfiles=20 | size(GB)=0.28
run=379 | starting date=Fri Dec 11 02:16:51 2015 | nfiles=20 | size(GB)=0.28
run=380 | starting date=Fri Dec 11 02:16:54 2015 | nfiles=20 | size(GB)=0.28
run=381 | starting date=Fri Dec 11 02:16:58 2015 | nfiles=20 | size(GB)=0.28
run=382 | starting date=Fri Dec 11 02:17:01 2015 | nfiles=20 | size(GB)=0.28
run=383 | starting date=Fri Dec 11 02:17:04 2015 | nfiles=20 | size(GB)=0.28
run=384 | starting date=Fri Dec 11 02:17:07 2015 | nfiles=20 | size(GB)=0.28
run=385 | starting date=Fri Dec 11 02:17:10 2015 | nfiles=20 | size(GB)=0.28
run=386 | starting date=Fri Dec 11 02:17:13 2015 | nfiles=20 | size(GB)=0.28
run=387 | starting date=Fri Dec 11 02:17:16 2015 | nfiles=20 | size(GB)=0.28
run=388 | starting date=Fri Dec 11 02:17:19 2015 | nfiles=20 | size(GB)=0.28
run=389 | starting date=Fri Dec 11 02:17:22 2015 | nfiles=20 | size(GB)=0.28
run=390 | starting date=Fri Dec 11 02:17:25 2015 | nfiles=20 | size(GB)=0.28
run=391 | starting date=Fri Dec 11 02:17:28 2015 | nfiles=20 | size(GB)=0.28
run=392 | starting date=Fri Dec 11 02:17:31 2015 | nfiles=20 | size(GB)=0.28
run=393 | starting date=Fri Dec 11 02:17:34 2015 | nfiles=20 | size(GB)=0.28
run=394 | starting date=Fri Dec 11 02:17:37 2015 | nfiles=20 | size(GB)=0.28
